Desired Frequency (Hz),BTC Power (dBm),AIM Power (dBm),AIM SNR (dB),AIM Demod Lock,AIM Demod Acq Time (sec),Bert Lock,Bert Total Bit Count,Bert Total Bit Error,Bit Error Rate
1030000000,-77.9,-86.92748056,6.522816636,TRUE,0,TRUE,3453792272,0,0
1050000000,-77.6,-86.98841177,6.732093971,TRUE,0,TRUE,3454259056,0,0
1070000000,-77.8,-87.42997259,6.550110824,TRUE,0,TRUE,3454403424,0,0
1090000000,-77.5,-86.89586668,6.611583253,TRUE,0,TRUE,3454509488,0,0
1110000000,-77.6,-87.35356108,6.50009945,TRUE,0,TRUE,3455204200,0,0
1130000000,-77.5,-87.18379532,6.603262417,TRUE,0,TRUE,3455091968,0,0
1150000000,-77.2,-86.4602551,6.667670357,TRUE,0,TRUE,3456072712,0,0
1170000000,-77.6,-87.36857672,6.512530832,TRUE,0.25,TRUE,3457671968,0,0
1190000000,-77.5,-87.16670031,6.63405743,TRUE,0.25,TRUE,3457760488,0,0
1210000000,-77.5,-86.90983275,6.618327397,TRUE,0,TRUE,3455211488,0,0
1230000000,-77.7,-87.30668832,6.457454551,TRUE,0,TRUE,3454674584,0,0
1250000000,-77.3,-86.74238116,6.635795906,TRUE,0.25,TRUE,3457490664,0,0
1270000000,-77.5,-86.91107431,6.555776754,TRUE,0,TRUE,3455505472,0,0
1290000000,-77.5,-87.04231761,6.517776998,TRUE,0,TRUE,3453700024,0,0
1310000000,-77.4,-87.22728154,6.596004841,TRUE,0,TRUE,3455233080,0,0
1330000000,-77.3,-86.756459,6.565668806,TRUE,0,TRUE,3455676976,0,0
1350000000,-76.8,-86.19033337,6.780939403,TRUE,0,TRUE,3454328120,0,0
1370000000,-77,-87.20407349,6.649654837,TRUE,0,TRUE,3455661376,0,0
1390000000,-77.2,-86.97671082,6.553812289,TRUE,0,TRUE,3453748080,0,0
1410000000,-77.2,-86.96680738,6.524545664,TRUE,0,TRUE,3454624712,0,0
1430000000,-77.3,-87.22114803,6.513568382,TRUE,0,TRUE,3454924776,0,0
1450000000,-77,-86.98729853,6.636325842,TRUE,0.25,TRUE,3457435568,0,0
1470000000,-76.9,-86.69992815,6.580023107,TRUE,0,TRUE,3454284736,0,0
1490000000,-77,-86.79588587,6.50022598,TRUE,0,TRUE,3455415616,0,0
1510000000,-76.9,-86.8369787,6.528850911,TRUE,0,TRUE,3454088816,0,0
1530000000,-76.7,-86.49706779,6.557308141,TRUE,0,TRUE,3453929800,0,0
1550000000,-76.7,-86.51893003,6.490027163,TRUE,0.25,TRUE,3457233352,0,0
1570000000,-76.4,-86.39219563,6.606009683,TRUE,0,TRUE,3454822720,0,0
1590000000,-76.4,-86.24345125,6.504173205,TRUE,0.25,TRUE,3458645544,0,0
1610000000,-76.4,-86.55685931,6.466186918,TRUE,0.25,TRUE,3458214096,0,0
1630000000,-76.3,-86.07228098,6.56693564,TRUE,0,TRUE,3454778480,0,0
1650000000,-76.3,-85.89496324,6.458584176,TRUE,0,TRUE,3453883904,0,0
1670000000,-76.2,-86.37484834,6.607672266,TRUE,0,TRUE,3455796112,0,0
1690000000,-76.3,-86.34326057,6.455820682,TRUE,0,TRUE,3455345184,0,0
1710000000,-76.2,-86.05347682,6.552002905,TRUE,0.25,TRUE,3457500048,0,0
1730000000,-76.3,-85.85842849,6.508019531,TRUE,0.25,TRUE,3458430152,0,0
1750000000,-76.3,-86.207695,6.440203607,TRUE,0,TRUE,3455908280,0,0
1770000000,-76.1,-85.7985504,6.57619059,TRUE,0,TRUE,3453687832,0,0
1790000000,-76.3,-85.99308662,6.518733679,TRUE,0,TRUE,3455072264,0,0
1810000000,-76.4,-86.14906934,6.552825649,TRUE,0,TRUE,3455904872,0,0
1830000000,-76.4,-86.05276108,6.570159616,TRUE,0,TRUE,3455826000,0,0
1850000000,-76.5,-86.15103562,6.579736364,TRUE,0,TRUE,3453611464,0,0
1870000000,-76.3,-86.14983853,6.667969219,TRUE,0.25,TRUE,3458002424,0,0
1890000000,-76.3,-85.77798224,6.539694224,TRUE,0.25,TRUE,3458672064,0,0
1910000000,-76.4,-86.19776065,6.482622328,TRUE,0,TRUE,3455691232,0,0
1930000000,-76.2,-86.05116362,6.537411258,TRUE,0,TRUE,3455396264,0,0
1950000000,-76.1,-85.69657865,6.566398898,TRUE,0.25,TRUE,3459564248,0,0
1970000000,-75.8,-85.19838898,6.55365565,TRUE,0,TRUE,3455812280,0,0
1990000000,-75.1,-84.86832164,6.610089284,TRUE,0,TRUE,3455509928,0,0
2010000000,-74.9,-84.41666419,6.701636294,TRUE,0,TRUE,3455145352,0,0
2030000000,-75.4,-84.94948271,6.568646816,TRUE,0.25,TRUE,3459663776,0,0
2050000000,-75.3,-84.64912399,6.534873251,TRUE,0,TRUE,3455481536,0,0
2070000000,-75.1,-84.30315276,6.608567795,TRUE,0,TRUE,3455636832,0,0
2090000000,-75,-84.28765449,6.656138118,TRUE,0,TRUE,3453566600,0,0
2110000000,-74.9,-84.19532255,6.58305189,TRUE,0,TRUE,3453884960,0,0
2130000000,-74.9,-84.20453377,6.533287735,TRUE,0.25,TRUE,3457448112,0,0
